Year,Month,NAO,Nino,NCEP_Air,Temp
1979,1,28.34,-0.46,257.5871,17.3194
1979,2,27.95,0.52,260.4989,14.4929
1979,3,27.55,-0.09,269.4423,37.5290
1979,4,27.24,-0.73,279.7187,44.3967
1979,5,26.96,-0.36,286.7603,56.8323
1979,6,26.55,0.70,293.3437,67.3800
1979,7,25.76,0.60,296.5042,70.1645
1979,8,25.22,-0.20,295.7329,67.2742
1979,9,25.06,-0.15,292.7033,62.7267
1979,10,24.73,-0.84,284.3484,49.2710
1979,11,24.33,-1.11,274.1493,38.4100
1979,12,24.33,0.21,271.5674,30.7323
1980,1,24.46,1.05,264.4439,22.8710
1980,2,25.10,-0.60,264.1686,20.3310
1980,3,25.84,-0.43,273.8345,30.0097
1980,4,26.46,0.41,285.1023,44.7767
1980,5,26.64,-0.17,290.5816,58.7323
1980,6,26.53,0.17,296.6053,63.9000
1980,7,26.39,-0.73,301.5594,72.6677
1980,8,26.33,-0.95,298.4858,71.6161
1980,9,26.08,0.95,292.9573,61.7133
1980,10,25.78,1.04,283.8574,44.9194
1980,11,25.61,-0.70,278.2227,36.8667
1980,12,25.63,1.30,268.6752,24.5935
1981,1,26.09,0.17,267.1406,18.4645
1981,2,26.07,-1.15,270.2150,27.7786
1981,3,26.19,-1.04,278.8458,35.3484
1981,4,26.86,-1.89,287.6600,48.7900
1981,5,26.80,-0.43,289.3871,55.2129
1981,6,26.23,-0.54,295.8883,68.1100
1981,7,25.90,1.57,298.0855,71.5935
1981,8,25.33,-0.46,295.9961,69.4258
1981,9,25.05,1.67,292.2303,58.6333
1981,10,24.89,-0.08,283.0445,45.7452
1981,11,25.05,0.30,277.1910,38.6600
1981,12,24.67,-0.09,264.5126,27.8032
1982,1,24.54,-0.80,258.2152,16.0323
1982,2,25.49,0.61,264.5961,20.6786
1982,3,26.46,0.38,274.3703,31.5097
1982,4,26.88,0.14,280.9383,42.0500
1982,5,27.20,0.94,289.2729,64.0806
1982,6,27.35,1.11,291.6947,62.5633
1982,7,27.13,-0.29,297.4300,71.6226
1982,8,26.98,2.34,295.5029,67.0581
1982,9,27.02,-1.11,290.4267,60.6167
1982,10,27.46,0.42,284.3097,51.6774
1982,11,27.41,0.04,274.0270,39.9133
1982,12,27.09,-1.57,270.1532,35.4419
1983,1,27.32,-1.72,265.0297,26.6935
1983,2,27.13,-1.00,267.5579,30.4857
