DATE,HOMETEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,AWAYTEAM,PTS,FGA,FG%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,CLASS
10/16/2018,BOS,105,97,0.433,37,0.297,14,0.714,55,21,7,5,14,20,PHI,87,87,0.391,26,0.192,23,0.609,47,18,8,5,16,20,1
10/16/2018,GSW,108,95,0.442,26,0.269,18,0.944,58,28,7,7,21,29,OKC,100,91,0.363,37,0.27,37,0.649,45,21,12,6,14,21,1
10/17/2018,CHA,112,92,0.446,38,0.421,22,0.636,41,21,8,9,11,19,MIL,113,85,0.494,34,0.412,20,0.75,57,26,5,4,21,25,-1
10/17/2018,DET,103,92,0.424,24,0.25,22,0.864,46,21,5,5,14,20,BKN,100,82,0.488,27,0.185,22,0.682,39,28,9,5,17,23,1
10/17/2018,IND,111,83,0.566,26,0.385,13,0.538,57,29,2,7,20,24,MEM,83,84,0.298,29,0.345,28,0.821,28,16,11,3,7,18,1
10/17/2018,ORL,104,94,0.415,25,0.28,31,0.613,51,20,7,7,12,25,MIA,101,97,0.392,33,0.273,22,0.727,52,16,4,5,16,28,1
10/17/2018,NYK,126,99,0.455,33,0.364,31,0.774,46,21,12,6,15,23,ATL,107,90,0.456,36,0.278,18,0.833,45,19,7,3,24,30,1
10/17/2018,TOR,116,92,0.489,33,0.424,20,0.6,43,21,6,7,9,29,CLE,104,85,0.4,19,0.368,39,0.744,49,17,4,0,16,25,1
10/17/2018,HOU,112,92,0.424,48,0.333,24,0.75,37,21,8,7,11,22,NOP,131,98,0.531,25,0.4,22,0.773,54,36,8,3,12,25,-1
10/17/2018,SAS,112,93,0.43,25,0.44,29,0.724,52,22,3,4,12,22,MIN,108,91,0.429,19,0.316,27,0.889,46,20,9,2,11,27,1
